广东频道,#genre#
广东珠江,https://skype.serv00.net/itouch.php?id=gdzj$1920x1080
广东体育,http://113.81.20.157:10443/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
广东体育,https://skype.serv00.net/itouch.php?id=gdty$1920x1080
广东新闻,http://113.81.20.157:10443/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw$1920x1080
广东卫视,http://113.81.20.157:10443/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
广东卫视,http://106.111.244.151:5001/tsfile/live/0001_12.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
大湾区卫视,http://113.81.20.157:10443/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
大湾区卫视,https://skype.serv00.net/itouch.php?id=nfws$1920x1080
新会综合,https://skype.serv00.net/itouch.php?id=xhzh$1920x1080
鹤山综合,https://skype.serv00.net/itouch.php?id=hszh$1920x1080
深圳卫视,http://106.111.244.151:5001/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$720x576
央视频道,#genre#
CCTV-9,http://nas.hssvm.com:8888/udp/225.1.1.119:5002$1920x1080
CCTV-11,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$426x240
卫视频道,#genre#
广东卫视,http://113.81.20.157:10443/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
广东卫视,http://106.111.244.151:5001/tsfile/live/0001_12.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
浙江卫视,http://106.111.244.151:5001/tsfile/live/0001_9.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$1920x1080
湖南卫视,http://106.111.244.151:5001/tsfile/live/0001_8.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
湖南卫视,http://113.81.20.157:10443/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
北京卫视,http://106.111.244.151:5001/tsfile/live/0001_6.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$720x576
东方卫视,http://106.111.244.151:5001/tsfile/live/0001_7.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
海南卫视,http://106.111.244.151:5001/tsfile/live/0001_11.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
吉林卫视,https://pulltv1.wanfudaluye.com/live/tv1.m3u8$1280x720
江苏卫视,http://106.111.244.151:5001/tsfile/live/0001_5.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
深圳卫视,http://106.111.244.151:5001/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$720x576
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws$1920x1080
港·澳·台,#genre#
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1280x720
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$1280x720
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8$1280x720
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1920x1080
凤凰资讯,http://106.111.244.151:5001/tsfile/live/0001_13.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8$1280x720
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8$1280x720
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?$1920x1080
TVBS新闻,http://4gtv.mumi.rip:9877/291/4gtv-4gtv072/index.m3u8$640x360
TVBS欢乐,http://4gtv.mumi.rip:9877/184/4gtv-4gtv068/index.m3u8$640x360
