广东频道,#genre#
广东珠江,http://14.145.222.210:8888/rtp/239.77.0.114:5146$1920x1080
广东体育,http://14.112.86.108:8008/rtp/239.77.0.168:5146$1920x1080
广东新闻,http://14.145.222.210:8888/rtp/239.77.0.173:5146$1920x1080
岭南戏曲,http://ictv.91tv.top:9901/tsfile/live/1025_1.m3u8
潮州综合, http://211.97.63.3:801/hls/503/index.m3u8
潮安综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2523
广东卫视,http://14.145.222.210:8888/rtp/239.77.0.166:5146$1920x1080
大湾区卫视,https://skype.serv00.net/itouch.php?id=nfws$1920x1080
佛山综合,http://61.140.148.82:3333/rtp/239.253.43.57:5146$1920x1080
佛山公共,http://61.140.148.82:3333/rtp/239.253.43.53:5146$1920x1080
深圳卫视,http://14.145.222.210:8888/rtp/239.77.0.92:5146$1920x1080
央视频道,#genre#
CCTV-1,http://14.112.86.108:8008/rtp/239.77.0.86:5146$1920x1080
CCTV-2,http://14.145.222.210:8888/rtp/239.77.0.31:5146$720x576
CCTV-3,http://14.145.222.210:8888/rtp/239.77.0.169:5146$1920x1080
CCTV-4,http://14.145.222.210:8888/rtp/239.77.0.33:5146$720x576
CCTV-5,http://61.140.148.82:3333/rtp/239.77.0.177:5146$1920x1080
CCTV-6,http://14.154.194.169:4022/rtp/239.77.0.35:5146$720x576
CCTV-7,http://14.145.222.210:8888/rtp/239.77.0.138:5146$1920x1080
CCTV-7,http://14.145.222.210:8888/rtp/239.77.0.36:5146$720x576
CCTV-8,http://14.145.222.210:8888/rtp/239.77.0.172:5146$1920x1080
CCTV-9,http://61.140.148.82:3333/rtp/239.77.0.38:5146$720x576
CCTV-10,http://14.154.194.169:4022/rtp/239.77.1.113:5146$1920x1080
CCTV-11,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$426x240
CCTV-12,http://14.145.222.210:8888/rtp/239.77.0.136:5146$1920x1080
CCTV-13,http://stream.smntv.cn/smtv1/playlist.m3u8$320x240
CCTV-14,http://14.112.86.108:8008/rtp/239.77.1.171:5146$1920x1080
CCTV-15,http://218.15.214.115:10000/rtp/239.77.0.44:5146$720x576
CCTV-16,http://61.140.148.82:3333/rtp/239.77.1.98:5146$3840x2160
CCTV-17,http://14.154.194.169:4022/rtp/239.77.0.115:5146$720x576
卫视频道,#genre#
广东卫视,http://14.154.194.169:4022/rtp/239.77.0.84:5146$1920x1080
浙江卫视,http://metatvpro.xyz:25461/W1045/4329/412$1280x720
湖南卫视,http://183.17.237.103:8888/rtp/239.77.0.88:5146$1920x1080
北京卫视,http://metatvpro.xyz:25461/W1045/4329/410$1280x720
湖北卫视,http://14.145.222.210:8888/rtp/239.77.0.95:5146$1920x1080
湖北卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000024621/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024621&livemode=1&stbId=3$1920x1080
黑龙江卫视,http://metatvpro.xyz:25461/W1045/4329/414$1920x1080
安徽卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000030159/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030159&livemode=1&stbId=3$1920x1080
重庆卫视,http://metatvpro.xyz:25461/W1045/4329/426$1280x720
东方卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265018/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265018&livemode=1&stbId=3$1920x1080
东南卫视,http://gslbservzqhsw.itv.cmvideo.cn/5000000004000010584/1.m3u8?channel-id=bestzb&Contentid=5000000004000010584&livemode=1&stbId=3$1920x1080
甘肃卫视,http://metatvpro.xyz:25461/W1045/4329/423$720x576
广西卫视,http://metatvpro.xyz:25461/W1045/4329/420$720x576
贵州卫视,http://gslbservzqhsw.itv.cmvideo.cn/5000000004000025843/1.m3u8?channel-id=bestzb&Contentid=5000000004000025843&livemode=1&stbId=3$1920x1080
海南卫视,http://gslbservzqhsw.itv.cmvideo.cn/5000000004000006211/1.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=3$1920x1080
河北卫视,http://gslbservzqhsw.itv.cmvideo.cn/5000000006000040016/1.m3u8?channel-id=bestzb&Contentid=5000000006000040016&livemode=1&stbId=3$1920x1080
河南卫视,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031119/1.m3u8?channel-id=bestzb&Contentid=5000000011000031119&livemode=1&stbId=3$1920x1080
吉林卫视,https://pulltv1.wanfudaluye.com/live/tv1.m3u8$1280x720
江苏卫视,http://metatvpro.xyz:25461/W1045/4329/413$1280x720
江西卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000006000268001/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268001&livemode=1&stbId=3$1920x1080
辽宁卫视,http://metatvpro.xyz:25461/W1045/4329/416$1280x720
内蒙古卫视,http://14.145.222.210:8888/rtp/239.77.0.70:5146$720x576
宁夏卫视,http://14.145.222.210:8888/rtp/239.77.0.73:5146$720x576
青海卫视,http://14.145.222.210:8888/rtp/239.77.0.71:5146$720x576
山东卫视,http://14.145.222.210:8888/rtp/239.77.0.94:5146$1920x1080
山西卫视,http://14.145.222.210:8888/rtp/239.77.0.69:5146$720x576
陕西卫视,http://14.145.222.210:8888/rtp/239.77.0.68:5146$720x576
四川卫视,http://metatvpro.xyz:25461/W1045/4329/418$1280x720
深圳卫视,http://14.145.222.210:8888/rtp/239.77.0.92:5146$1920x1080
三沙卫视,http://14.154.194.169:4022/rtp/239.77.1.117:5146$720x576
天津卫视,http://14.112.86.108:8008/rtp/239.77.1.182:5146$1920x1080
西藏卫视,http://14.145.222.210:8888/rtp/239.77.0.74:5146$720x576
新疆卫视,http://14.145.222.210:8888/rtp/239.77.1.53:5146$720x576
云南卫视,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031120/1.m3u8?channel-id=bestzb&Contentid=5000000011000031120&livemode=1&stbId=3$1920x1080
港·澳·台,#genre#
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1920x1080
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn$1280x720
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$1920x1080
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$1280x720
凤凰香港,http://metatvpro.xyz:25461/W1045/4329/12212$854x480
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080
TVBS新闻,http://4gtv.mumi.rip:9877/291/4gtv-4gtv072/index.m3u8$640x360
TVBS欢乐,http://4gtv.mumi.rip:9877/184/4gtv-4gtv068/index.m3u8$640x360
